Timestamp,"Sur une échelle de 1 à 10, à combien évaluez-vous la qualité de votre sommeil ? (10 étant la meilleure qualité)","Le fait d'être en couple a-t-il des répercussions sur vos études ? Donner l'écart de moyenne avant et après. (0 pour les célibataires)","Quelle a été votre moyenne au bac ? (Arrondi à l'entier, de 10 à 20)","Est-ce que vous habitez chez vos parents ou tout seul ? Comment cela influence-t-il votre travail ?
1. Travailler chez mes parents m'empêche de travailler à cause d'interruptions extérieurs
2. Travailler chez mes parents me pousse à travailler
3. Vivre seul me prends trop de temps (ménage, courses, ...) et j'ai moins de temps pour travailler
4. Vivre seul me permet d'avoir un espace plus calme pour travailler
5. Vivre seul m'empêche de travailler car je n'ai plus quelqu'un derrière moi pour me pousser à le faire","Combien de temps mettez vous pour venir en cours  chaque matin?","combien d'heures par jour travaillez vous à la maison ?","Combien de temps passez-vous en moyenne par jour sur votre téléphone ?
-Moins d'1h
-Entre 1-2h
-Entre 2-4h
-Entre 4-6h
-Entre 6-8h
-Plus de 8h","combien d'heures en moyenne dormez-vous avant un CE ? (heure par heure)","Dans quel format (CM ou CTD) estimez-vous apprendre le plus, et quelle est votre moyenne générale ?","moyenne général ducoup ? (pas de 2 points)","Êtes-vous impliqué(e) dans une association étudiante à l’Efrei (oui/non) ? Si oui, combien d’heures par semaine y consacrez-vous en moyenne ? sinon, mettez 0.","Depuis que vous utilisez l'IA (ChatGPT, etc) avez vous trouvez que votre créativité et proactivité a diminuée ?","Le fait d’avoir une activité salariée pendant le semestre est-il associé aux résultats académiques des étudiant·es de l’Efrei ?","Quel est votre nombre d’absences injustifiées ce semestre ?","As-tu plutôt tendance à travailler régulièrement tout au long du semestre ou à bachoter avant les examens ?","Combien de temps avant de vous endormir arrêtez-vous d'utiliser vos écrans (téléphone, ordinateur, tablette) ?"
"2026/04/14 07:33:58.623",7,0,5,1,1h30,1h,4,5,TD,8,0,non,"plutôt non",5,régulièrement,0
"2026/04/14 07:35:14.123",1,3,2,1,1h,"30 minutes",3,1,TD,5,4,oui,"plutôt oui",7,bachoter,0
"2026/04/14 07:35:58.249",7,0,6,2,1h,1h,3,4,TD,8,2,oui,"plutôt oui",2,bachoter,0
"2026/04/14 07:36:15.976",7,0,5,3,"45 mnutes",1h,4,7,TD,5,0,non,"plutôt oui",2,régulièrement,1
"2026/04/14 07:36:25.512",3,0,6,3,1h,"45 mnutes",4,6,TD,9,0,non,"plutôt non",10,régulièrement,0
"2026/04/14 07:36:38.259",3,0,3,2,1h,"plus encore",2,4,TD,6,5,non,"plutôt non",10,bachoter,0
"2026/04/14 07:39:50.424",2,0,6,2,1h,"plus encore",5,3,CM,7,0,oui,"plutôt non",9,bachoter,0
"2026/04/14 07:40:12.293",6,0,6,5,1h,"30 minutes",3,6,TD,8,5,non,"plutôt non",4,bachoter,0
"2026/04/14 07:43:35.541",7,0,5,4,"30 minutes","30 minutes",5,3,TD,6,2,non,"plutôt oui",0,bachoter,0
"2026/04/14 07:45:27.649",5,0,3,1,1h,"5 minutes",4,3,TD,6,0,oui,"plutôt non",1,bachoter,0
"2026/04/14 07:46:46.419",7,0,7,4,"45 mnutes","30 minutes",4,8,TD,8,0,oui,"plutôt non",1,bachoter,0
"2026/04/14 07:47:56.066",7,0,5,2,1h,"45 mnutes",6,7,TD,8,5,non,"plutôt non",0,bachoter,0
"2026/04/14 07:48:06.284",4,0,5,2,1h,1h30,5,8,TD,6,5,oui,"plutôt oui",0,régulièrement,0
"2026/04/14 07:48:40.442",5,0,4,2,1h,"45 mnutes",4,3,TD,6,0,non,"plutôt oui",4,bachoter,0
