Horodateur,"Quelle a été votre note   au bac de Mathématiques ?","Combien d'heures dormez - vous par nuit ?","Combien de temps à l'avance commencez - vous à réviser pour un examen important ?","Quelle spécialité envisagez - vous de choisir en Master à l'EFREI ?","Quelle a été votre note en Analyse 1 à l'EFREI ?","Sur une échelle de 1 à 10, combien évaluez - vous la difficulté de la matière Algèbre Générale ?","A quelle fréquence participez - vous à des activités extra - scolaires ? (sports, loisirs, sorties) ","A quelle fréquence avez - vous sollicité les permanences pédagogiques durant le semestre dernier ? ","Avez - vous plus d'heures de sommeil en demi - journée le matin ou l'après-midi ?","A quelle fréquence participez - vous à des évènements sociaux ou rencontres avec d'autres étudiants en dehors des cours ?","Quelle est votre moyenne au S1 à l'EFREI ?","A quelle fréquence allez - vous en Cours Magistral ?","Pensez - vous que les épreuves sont bien réparties dans l'année ?","Avec combien de personnes vivez - vous ?","A quelle fréquence allez - vous au tableau lors des séances de TD ?"
"2026/04/14 07:33:43.245",18,7,"2 à 3 jours avant","Je ne sais pas encore",12,6,"Une fois par semaine",Rarement,après-midi,"Une fois par semaine",16,Systématiquement,Oui,2,Rarement
"2026/04/14 07:34:51.428",18,7,"Environ 1 semaine avant","Cybersécurité & Cloud",5,6,"Une fois par semaine",Rarement,après-midi,Rarement,13,Systématiquement,"Elles devraient  être plus espacées dans le temps",4,Toujours
"2026/04/14 07:35:21.761",12,5,"La veille","Je ne sais pas encore",8.5,7,"Plusieurs fois par semaine",Rarement,après-midi,"Plusieurs fois par semaine",12.5,Souvent,"Elles devraient  être plus espacées dans le temps",3,Jamais
"2026/04/14 07:38:17.342",18,6,"La veille","Big Data & Machine Learning",10,1,"Plusieurs fois par semaine",Rarement,après-midi,"Plusieurs fois par semaine",14.67,Systématiquement,Oui,1,Rarement
"2026/04/14 07:44:46.384",9,8,"Environ 1 semaine avant","Cybersécurité & Cloud",8,7,Rarement,Jamais,après-midi,Rarement,12.47,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Jamais
"2026/04/14 07:45:28.660",17,9,"2 à 3 semaines avant","Data & IA",10,3,"Une fois par semaine",Rarement,après-midi,Rarement,14.6,Systématiquement,Oui,3,Rarement
"2026/04/14 07:45:30.939",18,9,"La veille","Je ne sais pas encore",10.5,5,"Une fois par semaine",Jamais,matin,Jamais,15.9,Systématiquement,Oui,3,Rarement
"2026/04/14 07:49:58.734",15,8-9,"Environ 1 semaine avant","Je ne sais pas encore",4.5,6,"Plusieurs fois par semaine",Régulièrement,matin,"Une fois par mois",9.2,Systématiquement,Oui,4,Rarement
"2026/04/14 07:58:58.752",14,7h30,"2 à 3 semaines avant","It for Finance",9,4,"Plusieurs fois par semaine",Jamais,après-midi,Jamais,11.35,Systématiquement,Oui,3,Jamais
"2026/04/14 08:02:33.094",11.5,6-8h,"Environ 1 semaine avant","Software Engineering",1.8,7,"Une fois par semaine",Rarement,après-midi,Rarement,11.78,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/14 08:26:08.313",14,7,"Environ 1 semaine avant","Je ne sais pas encore",7,7,"Une fois par semaine",Rarement,après-midi,"Une fois par semaine",12.34,Systématiquement,Oui,0,Toujours
"2026/04/14 08:31:41.071",18,7,"2 à 3 jours avant","Cybersécurité Infrastructure et Logiciels",11.47,6,"Plusieurs fois par semaine",Régulièrement,matin,"Une fois par mois",15.56,Systématiquement,Oui,3,Souvent
"2026/04/14 08:34:01.542",18,5h-6h,"Environ 1 semaine avant","It for Finance",14,7,"Plusieurs fois par semaine",Rarement,après-midi,"Une fois par semaine",12.5,Souvent,"Elles devraient  être plus espacées dans le temps",0,Souvent
"2026/04/14 08:43:35.559",14,6,"Environ 1 semaine avant","Je ne sais pas encore",8.5,7,Rarement,Régulièrement,après-midi,Jamais,13,Systématiquement,Oui,4,Souvent
"2026/04/14 08:48:16.469",14,6h,"Environ 1 semaine avant","Je ne sais pas encore",5,7,"Une fois par semaine",Rarement,après-midi,"Une fois par mois",9,Systématiquement,"Elles devraient  être plus espacées dans le temps",5,Jamais
"2026/04/14 09:33:59.292",12,7h,"Environ 1 semaine avant","Je ne sais pas encore",5,5,"Une fois par semaine",Rarement,après-midi,Jamais,7,Systématiquement,"Elles devraient  être plus espacées dans le temps",4,Rarement
